Date,GT
2019-01-02,28
2019-01-03,28
2019-01-04,28
2019-01-07,28
2019-01-08,27
2019-01-09,27
2019-01-10,27
2019-01-11,27
2019-01-14,27
2019-01-15,26
2019-01-16,26
2019-01-17,26
2019-01-18,26
2019-01-21,26
2019-01-22,25
2019-01-23,25
2019-01-24,25
2019-01-25,25
2019-01-28,25
2019-01-29,26
2019-01-30,26
2019-01-31,26
2019-02-01,26
2019-02-04,26
2019-02-05,25
2019-02-06,25
2019-02-07,25
2019-02-08,25
2019-02-11,25
2019-02-12,23
2019-02-13,23
2019-02-14,23
2019-02-15,23
2019-02-18,23
2019-02-19,26
2019-02-20,26
2019-02-21,26
2019-02-22,26
2019-02-25,26
2019-02-26,35
2019-02-27,35
2019-02-28,35
2019-03-01,35
2019-03-04,35
2019-03-05,35
2019-03-06,35
2019-03-07,35
2019-03-08,35
2019-03-11,35
2019-03-12,39
2019-03-13,39
2019-03-14,39
2019-03-15,39
2019-03-18,39
2019-03-19,33
2019-03-20,33
2019-03-21,33
2019-03-22,33
2019-03-25,33
2019-03-26,29
2019-03-27,29
2019-03-28,29
2019-03-29,29
2019-04-01,29
2019-04-02,31
2019-04-03,31
2019-04-04,31
2019-04-05,31
2019-04-08,31
2019-04-09,30
2019-04-10,30
2019-04-11,30
2019-04-12,30
2019-04-15,30
2019-04-16,28
2019-04-17,28
2019-04-18,28
2019-04-19,28
2019-04-22,28
2019-04-23,37
2019-04-24,37
2019-04-25,37
2019-04-26,37
2019-04-29,37
2019-04-30,33
2019-05-01,33
2019-05-02,33
2019-05-03,33
2019-05-06,33
2019-05-07,33
2019-05-08,33
2019-05-09,33
2019-05-10,33
2019-05-13,33
2019-05-14,31
2019-05-15,31
2019-05-16,31
2019-05-17,31
2019-05-20,31
2019-05-21,35
2019-05-22,35
2019-05-23,35
2019-05-24,35
2019-05-27,35
2019-05-28,31
2019-05-29,31
2019-05-30,31
2019-05-31,31
2019-06-03,31
2019-06-04,34
2019-06-05,34
2019-06-06,34
2019-06-07,34
2019-06-10,34
2019-06-11,32
2019-06-12,32
2019-06-13,32
2019-06-14,32
2019-06-17,32
2019-06-18,31
2019-06-19,31
2019-06-20,31
2019-06-21,31
2019-06-24,31
2019-06-25,30
2019-06-26,30
2019-06-27,30
2019-06-28,30
2019-07-01,30
2019-07-02,30
2019-07-03,30
2019-07-04,30
2019-07-05,30
2019-07-08,30
2019-07-09,30
2019-07-10,30
2019-07-11,30
2019-07-12,30
2019-07-15,30
2019-07-16,33
2019-07-17,33
2019-07-18,33
2019-07-19,33
2019-07-22,33
2019-07-23,35
2019-07-24,35
2019-07-25,35
2019-07-26,35
2019-07-29,35
2019-07-30,30
2019-07-31,30
2019-08-01,30
2019-08-02,30
2019-08-05,30
2019-08-06,29
2019-08-07,29
2019-08-08,29
2019-08-09,29
2019-08-12,29
2019-08-13,29
2019-08-14,29
2019-08-15,29
2019-08-16,29
2019-08-19,29
2019-08-20,31
2019-08-21,31
2019-08-22,31
2019-08-23,31
2019-08-26,31
2019-08-27,29
2019-08-28,29
2019-08-29,29
2019-08-30,29
2019-09-02,29
2019-09-03,28
2019-09-04,28
2019-09-05,28
2019-09-06,28
2019-09-09,28
2019-09-10,30
2019-09-11,30
2019-09-12,30
2019-09-13,30
2019-09-16,30
2019-09-17,31
2019-09-18,31
2019-09-19,31
2019-09-20,31
2019-09-23,31
2019-09-24,33
2019-09-25,33
2019-09-26,33
2019-09-27,33
2019-09-30,33
2019-10-01,32
2019-10-02,32
2019-10-03,32
2019-10-04,32
2019-10-07,32
2019-10-08,30
2019-10-09,30
2019-10-10,30
2019-10-11,30
2019-10-14,30
2019-10-15,29
2019-10-16,29
2019-10-17,29
2019-10-18,29
2019-10-21,29
2019-10-22,34
2019-10-23,34
2019-10-24,34
2019-10-25,34
2019-10-28,34
2019-10-29,31
2019-10-30,31
2019-10-31,31
2019-11-01,31
2019-11-04,31
2019-11-05,29
2019-11-06,29
2019-11-07,29
2019-11-08,29
2019-11-11,29
2019-11-12,34
2019-11-13,34
2019-11-14,34
2019-11-15,34
2019-11-18,34
2019-11-19,100
2019-11-20,100
2019-11-21,100
2019-11-22,100
2019-11-25,100
2019-11-26,100
2019-11-27,100
2019-11-28,100
2019-11-29,100
2019-12-02,100
2019-12-03,41
2019-12-04,41
2019-12-05,41
2019-12-06,41
2019-12-09,41
2019-12-10,37
2019-12-11,37
2019-12-12,37
2019-12-13,37
2019-12-16,37
2019-12-17,36
2019-12-18,36
2019-12-19,36
2019-12-20,36
2019-12-23,36
2019-12-24,42
2019-12-25,42
2019-12-26,42
2019-12-27,42
